IDCompania,Alias,Nombre
1,Indeterminado,INDETERMINADO
2,Aqua Phoenix,AquaPhoenix Scientific Inc.
3,Blue Grass,"Blue Grass Chemical Specialties,L.L.C."
4,Bluestar,"BlueStar, Inc."
5,CEVA,"CEVA International, Inc. - Laredo"
6,Chemetall US,Chemetall US Inc
7,Chromaflo,Chromaflo Technologies corp.
8,Conventya,Coventya Inc
9,Diagraph DF,"DF/Diagraph ITW Mexico, SA de CV"
10,Diagraph ITW,01 Diagraph An ITW Company
11,Diagraph MSP,02 Diagraph MSP An ITW Company
12,Norwood Diamex,"Diagraph Marking & Coding, Adivision of Illinois Tool Works, Inc (1)"
13,Norwood Id Global,"Diagraph Marking & Coding, Adivision of Illinois Tool Works, Inc (2)"
14,DNP,DNP IMS America Corp.
15,Dorf,Dorf Ketal Speciality Catalysts LLC
16,Edmac Charlote,Edmac Compressor Parts
17,Enmet Ann Arbor,Enmet LLC
18,Ethox,Ethox Chemicals LLC
19,GEA,Grupo Euroamericana SA de CV
20,Gluefast,The Gluefast Company Inc.
21,Greydon,Greydon Inc.
22,Idglobal,ID Global Solutions SA de CV
23,IIMAK,"International Imaging Materials, Inc."
24,Metal Working,Metal Working Lubricants Co.
25,Michelman,Michelman Inc
26,Nalco Co,Nalco Company
27,Nease Corp,Nease Corporation
28,NG Laredo,"Nowgroup, Inc."
29,Norwood Remitente,Norwood Marking Systems
30,Omega E,"Omega Engineering, Inc."
31,PCC Chemax,"PCC Chemax, Inc"
33,Process,Process Sensors Corporation
34,Pylam,"Pylam Products Company, Inc."
35,QRO CHEMETALL,"Chemetall Mexicana, SA de CV"
36,Sato,SATO America Inc.
37,Shepherd,The Shepherd Chemical Company
38,Showbox,Showbox Exhibits
39,Special Materials,Special Materials Company
40,Start Int,Start International
41,Tower Oil,Tower Oil & Technology Co.
42,UNIVAR,Univar USA Inc
43,UPS FREIGHT,United Parcel Services
44,UPS EXPRESS,Untel Parcel Services
45,Zebra,"Zebra Technologies international, LLC"
47,Americaenergy,"America Energy, Inc."
48,Tharo,"Tharo Systems, Inc."
49,DiamexEquipos,01 Diagraph ITW Mexico S de RL de CV
50,Flexcon,Flexcon Company Inc
51,Rotometrics DIE,"Roto Die Company, Inc."
52,Almig,Almig USA Corporation
53,ITW Thermal,ITW Thermal Films
54,Linx Printing,Linx Printing Technologies LTD
55,Quincy,Quincy Compressor.
56,EPCOS,Epcos
57,Tomco,03 Diagraph ITW Mexico S. de R.L. de C.V.
58,Metalstamp,Metalstamp Inc.
59,Bofa,Bofa Americas INC.
60,Markandy,MarkAndy Inc.
61,Trident,"Trident, Inc."
62,Meder,Meder Electronic Inc.
63,FEDEX FREIGHT USA,FEDEX FREIGHT USA
64,Stackpole,"Stackpole Electronics, INC."
65,Pancon,Pancon LLC.
66,Plasticprocess,"Plastic Process Equipment, Inc."
67,StylAir,"StylAir, LLC"
68,ARCBEST,ARCBEST
69,FEDEX GROUND,FEDEX GROUND USA
70,ESTES,ESTES EXPRESS LINES
71,FX TRANS,Southestern
72,TRANSPORT AMERICA,Transport America
73,CONWAY,CONWAY SOUTHERN EXPRESS
74,YRC,YRC Transportation
